value,method,mediane(s)
1000000,method4,41.384980049999285
1000000,method5,21.59829985000033
1000000,method6,7.255388049999965
1000000,method8,108.69828235000023
1000000,method9,13.749044800000775
1000000,method10,7.343694600000163
100,method1,0.10283610000078625
100,method2,0.10105125000154658
100,method3,0.09718969999994442
100,method4,0.015299149999918882
100,method5,0.007403450001220335
100,method6,0.0033578500006115064
100,method7,0.1564859999998589
100,method8,0.21234419999927923
100,method9,0.1664768999999069
100,method10,0.00481355000010808
1000,method1,0.9421668000013597
1000,method2,0.8144662999984575
1000,method3,0.788655899998048
1000,method4,0.14082190000044648
1000,method5,0.08078784999997879
1000,method6,0.01875789999940025
1000,method7,0.2586020000017015
1000,method8,0.5557628000005934
1000,method9,0.2701624499986792
1000,method10,0.02275175000249874
10000,method1,2.118473250000534
10000,method2,2.110489950000556
10000,method3,2.0262985000008484
10000,method4,0.42990404999909515
10000,method5,0.23187789999974484
10000,method6,0.052771550001125433
10000,method7,0.377739150000707
10000,method8,1.1462511999980052
10000,method9,0.1673109999992448
10000,method10,0.05572114999813493
100000,method1,21.875458599999547
100000,method2,21.476050499999474
100000,method3,20.847127800001545
100000,method4,4.350192750000133
100000,method5,2.340886750000209
100000,method6,0.738352100001066
100000,method7,3.583055399998557
100000,method8,11.087509950000822
100000,method9,1.4396746500005975
100000,method10,0.8198517499986337
